# num_envs, seed, camera, time, command
1, 0, state, 443.06870675086975, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 1 --seed 0 --usewandb
1, 1, state, 439.16475772857666, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 1 --seed 1 --usewandb
1, 2, state, 441.1595582962036, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 1 --seed 2 --usewandb
1, 3, state, 445.32470655441284, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 1 --seed 3 --usewandb
1, 4, state, 441.0789761543274, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 1 --seed 4 --usewandb
1, 0, visual, 451.01917695999146, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 1 --seed 0 --usewandb
1, 1, visual, 447.2515070438385, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 1 --seed 1 --usewandb
1, 2, visual, 445.96729588508606, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 1 --seed 2 --usewandb
1, 3, visual, 451.81738805770874, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 1 --seed 3 --usewandb
1, 4, visual, 448.07663559913635, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 1 --seed 4 --usewandb
2, 0, state, 437.91923332214355, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 2 --seed 0 --usewandb
2, 1, state, 434.006623506546, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 2 --seed 1 --usewandb
2, 2, state, 433.8743414878845, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 2 --seed 2 --usewandb
1, 0, state, 449.1036171913147, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 1 --seed 0 --usewandb
1, 0, visual, 449.24089550971985, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 1 --seed 0 --usewandb
2, 0, state, 435.90638637542725, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 2 --seed 0 --usewandb
2, 0, visual, 437.1294059753418, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 2 --seed 0 --usewandb
4, 0, state, 451.53598976135254, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 4 --seed 0 --usewandb
4, 0, visual, 449.3675880432129, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 4 --seed 0 --usewandb
8, 0, state, 467.07160568237305, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 8 --seed 0 --usewandb
8, 0, visual, 466.2128038406372, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 8 --seed 0 --usewandb
16, 0, state, 468.15968680381775, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 16 --seed 0 --usewandb
16, 0, visual, 473.5592083930969, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 16 --seed 0 --usewandb
32, 0, state, 496.02474665641785, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 32 --seed 0 --usewandb
32, 0, visual, 498.01201367378235, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 32 --seed 0 --usewandb
64, 0, state, 501.3433153629303, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 64 --seed 0 --usewandb
64, 0, visual, 518.0754866600037, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 64 --seed 0 --usewandb
128, 0, state, 508.2691831588745, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 128 --seed 0 --usewandb
128, 0, visual, 545.6334545612335, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 128 --seed 0 --usewandb
256, 0, state, 595.8196785449982, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 256 --seed 0 --usewandb
256, 0, visual, 817.6746780872345, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 256 --seed 0 --usewandb
512, 0, state, 632.9359221458435, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 512 --seed 0 --usewandb
512, 0, visual, 2095.415387392044, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 512 --seed 0 --usewandb
1, 1, state, 446.155531167984, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 1 --seed 1 --usewandb
1, 1, visual, 449.15217995643616, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 1 --seed 1 --usewandb
2, 1, state, 436.0101521015167, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 2 --seed 1 --usewandb
2, 1, visual, 437.0732567310333, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 2 --seed 1 --usewandb
4, 1, state, 437.1304461956024, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 4 --seed 1 --usewandb
4, 1, visual, 443.9569478034973, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Camera-Franka-v0 --headless --num_envs 4 --seed 1 --usewandb
8, 1, state, 447.0524926185608, ./orbit.sh -p source/standalone/workflows/skrl/train.py --task Isaac-Lift-Cube-Franka-v0 --headless --num_envs 8 --seed 1 --usewandb
